Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
11;ZS/ZPM;Vjeronauka;H;6;V2;Crkva - zajednica Isusovih učenika;Ne;;Da;solidarnost, život, saradnja, odgovornost  ZPM-51-a, ZPM-51-b, ZPM-51-c, ZPM-52-b, ZPM-52-a, ZPM-53-d, ZPM-53-e, ZPM-53-f, ZPM-53-g, ZPM-53-h, ZPM-53-i, ZPM-53-m;Da;pobožnost;redukcija  ZPM-51-a, ZPM-51-b, ZPM-51-c;1;ZPM-53-a, ZPM-53-k, ZPM-53-l;;2;ZPM-50-a, ZPM-53-a, ZPM-53-b, ZPM-53-d, ZPM-53-e, ZPM-53-f, ZPM-53-g, ZPM-53-h, ZPM-53-i, ZPM-53-j, ZPM-53-lj, ZPM-53-m;;0;ZPM-53-A;;0;;
12;ZS/ZPM;Vjeronauka;H;6;V2;Pastiri Kristove Crkve;Da;neravnopravnost ZPM-54-a, ZPM-54-b;Ne;;Ne;;;1;ZPM -57-b, ZPM-57-c, ZPM-57-d;;2;;;0;;;1;ZPM-57-a;
13;ZS/ZPM;Vjeronauka;H;6;V2;Redovnici i redovnice u Crkvi;Ne;;Da;solidarnost, odgovornost  ZPM-59-a, ZPM-59-b, ZS-58-c;Da;pobožnost;redukcija ZPM-59-a, ZPM-59-b, ZPM-59-e, ZPM-59-d;1;ZPM-59-d;;2;ZPM-59-e;ZS-59-b;0;ZS-59-a;;0;;
14;ZS/ZPM;Vjeronauka;H;6;V2;Vjernici laici u Crkvi;Ne;;Da;jednakost, solidarnost, mir ZPM-60-a, ZPM-61-a, ZPM-61-b;Da;pobožnost ZS-60-a, ZS-60-b;redukcija ZPM-60-a, ZPM-61-a, ZPM-61-b, ZPM-61-c, ZPM-61-e;1;ZPM-61-d, ZPM-61-e, ZS-61-c;;0;;;0;;;0;;
15;ZS/ZPM;Vjeronauka;H;6;V2;Svijetle i tamne strane Crkve u srednjem vijeku;Ne;;Da;mir, saradnja, solidarnost, odgovornost  ZPM-63-b, ZPM-63-c, ZS-63-a, ZPM-66-a, ZPM-66-b, ZPM-68-a, ZPM-67-a, ZPM-67-b, ZPM-69-a, ZPM-69-d;Da;prošlost, pobožnost ZS-68-a, ZS-63-a;indukcija, relativizacija, mistifikacija, redukcija  ZS-68-a, ZPM-63-b, ZPM-67-a, ZPM-68-a, ZPM-69-a, ZPM-69-b, ZPM-69-d;1;ZPM-63-a, ZPM-69-e, ZPM-69-f, ZPM-69-g;;1;ZPM-69-h, ZPM-69-j, ZPM-69-f;;0;;;1;ZPM-63-b, ZPM-63-c, ZPM-69-a, ZPM-69-b;
16;ZS/ZPM;Vjeronauka;H;6;V2;Rascjep Zapadne crkve i njezina obnova;Da;pluralizamkaoproblem ZPM-70-b, ZPM-73-c;Da;solidarnost, sloboda, odgovornost  ZS-72-a, ZPM-70-a;Da;pobožnost;mistifikacija, imputacija  ZPM-70-a, ZPM-73-f;1;ZPM-73-b, ZPM-73-c;;1;ZPM-73-d, ZPM-73-d, ZPM-73-f, ZS-73-a;;1;ZPM-73-c;;2;;ZPM-70-b
17;ZS/ZPM;Vjeronauka;H;6;V2;Novo lice Crkve u 20. stoljeću;Da;pluralizamkaoproblem, sukob ZPM-74-a, ZPM-74-b;Da;solidarnost, mir, saradnja, jednakost, život, odgovornost  ZPM-74-d, ZPM-74-e, ZPM-75-b, ZPM-74-f, ZPM-74-h, ZPM-74-i, ZPM-74-j, ZPM-74-k, ZPM-75-a ;Da;pobožnost;redukcija, mistifikacija ZPM-74-d, ZPM-74-e, ZPM-75-c, ZPM-75-d, ZPM-74-f, ;1;ZS-75-d;;1;ZPM-75-C, ZPM-75-f;;1;ZPM-76-a;;0;;
18;ZS/ZPM;Vjeronauka;H;6;V2;Sedam sakramenata;Da;neprijateljstvo ZS-80-c;Ne;;Ne;;;0;ZPM-77-a, ZPM-80-b;;2;ZPM-80-c;ZS-80-b;1;ZPM-80-a;;0;;
19;ZS/ZPM;Vjeronauka;H;6;V2;Sakramenti kršćanske inicijacije;Da;pluralizamkaoproblem ZPM-83-a;Da;sloboda, život, saradnja, odgovornost  ZPM-81-a, ZS-83-a, ZPM-85-a ;Da;pobožnost ZS-83-a;redukcija ZPM-85-b, ZS-83-a;1;ZPM-81-a, ZPM-81-b, ZPM-86-a, ZPM-86-b, ZPM-86-c, ZPM-86-d, ZPM-86-e;;2;;ZS-86-c;0;;;1;ZPM-82-a, zs-86-B;
20;ZS/ZPM;Vjeronauka;H;6;V2;Crkvene zgrade;Ne;;Ne;;Ne;;;1;ZPM-88-a, ZPM-91-a, ZPM-91-b, ZPM-91-c;;2;;ZS-88-a, ZS-90-b;1;ZPM-91-a, ZPM-91-b;;0;;
21;ZS/ZPM;Vjeronauka;H;6;V2;Liturgijski predmeti, jezici i glazba;Ne;;Ne;;Ne;;;1;ZPM-92-a, ZPM-94-f, ZPM-94-g;;1;ZPM-94-f;;1;ZPM-94-e;;1;ZPM-93-a, ZPM-93-b, ZPM-93-c, ZPM-94-d;
22;ZS/ZPM;Vjeronauka;H;6;V2;Kršćanski simboli i kratice;Da;pluralizamkaoproblem, sukob ZPM-98-a, ZPM-98-a;Da;jednakost  ZPM-95-c;Da;pobožnost;redukcija ZPM-95-c, ZPM-95-b;1;ZPM-95-a, ZPM-97-d;;2;;ZS-97-a, ZS-97-b;0;ZPM-97-a, ZPM-97-b;;1;ZPM-95-b, ZPM-95-d, ZPM-95-e, ZPM-95-f, ZPM-97-a;
23;ZS/ZPM;Vjeronauka;H;6;V2;Upoznajmo Mariju iz Jevanđelja;Ne;;Ne;;Ne;;;1;ZPM-99-a, ZPM-102-a, ZPM-102-b, ZPM-102-c, ZPM-102-d;;0;;;1;ZPM-102-d;;0;;
24;ZS/ZPM;Vjeronauka;H;6;V2;Glavni Marijini blagdani i molitve;Ne ;;Ne;jednakost, saradnja;Da;pobožnost;redukcija;0;;;2;;ZS-106-d;1;ZPM-106-a, ZPM-106-e;;2;;ZPM-106-a
25;ZS/ZPM;Vjeronauka;H;6;V2;Rimski biskup;Ne;;Da;odgovornost  ZPM-109-a;Da;prošlost;relativizacija, insinuacija, redukcija;1;ZPM-108-a, ZPM-111-b, ZPM-111-c, ZPM-111-e;;1;ZPM-111-d;;1;ZPM-111-e, ZPM-111-f;;0;;
26;ZS/ZPM;Vjeronauka;H;6;V2;Život redovnika i redovnica;Da;pluralizamkaoproblem, represija ZPM-115-a;Da;odgovornost, solidarnost  ZPM-113-a, ZPM-113-b, ZPM-116-a, ZPM-116-b;Da;pobožnost ;redukcija ;1;ZPM-116-a, ZPM-116-f;;0;;;1;ZPM-116-a, ZPM-116-f;;2;;ZPM-116-c, ZPM-116-d
27;ZS/ZPM;Vjeronauka;H;6;V2;Crkveno graditeljstvo;Ne;;Ne;;Ne;;;1;ZPM-120-a, ZPM-120-b, ZPM-120-c;;0;;;1;ZPM-120-a, ZPM-120-c;;0;;
1;ZS/NI;Vjeronauka;B;9;V13;Bože osnaži me;Ne;;Ne;;Ne;;;2;;ZS-7-a, ZS-9-b, ZS-10-a;1;ZS-10-c,NI-7-1, NI-8-1, NI-8-2;;2;;NI-6-a;0;;
2;ZS/NI;Vjeronauka;B;9;V13;Dova, moje najjače oružje;Ne;;Ne;;Ne;;;2;;ZS-12-b;2;NI-12-3;ZS-15-b, ZS-15-a, NI-12-1, NI-12-2, NI-14-4;0;;NI-11-1, NI-11-2;0;;
3;ZS/NI;Vjeronauka;B;9;V13;Oslonac koji imam i kada svi drugi nestanu;Ne;;Ne;;Ne;;;1;NI-18-1, NI-18-2;;2;NI-17-2;NI-17-1, NI-20-a, ZS-20-b;2;;NI-17-3;0;;
4;ZS/NI;Vjeronauka;B;9;V13;Put ka samostalnosti;Ne;;Ne;;Ne;;;1;ZS-23-a, ZS-24-a, ZS-24-b, ZS-24-d;;1;ZS-22-a, ZS-24-c, ZS-25-a, ZS-25-b;;0;;;0;;
5;ZS/NI;Vjeronauka;B;9;V13;Moja sklonosti – Allahovi darovi;Ne;;Da;odgovornost  ZS-27-a;Ne;;;1;NI-28-3, NI-29-4, NI-30-5, ZS-31-b;;1;ZS-28-1, ZS-29-2, ZS-30-3, NI-27-2;NI-26-2, NI-27-1;1;ZS-31-c;NI-26-1;2;;NI-31-3
6;ZS/NI;Vjeronauka;B;9;V13;Druženje i prijateljstvo;Ne;;Da;jednakost, solidarnost, odgovornost, prijateljstvo ZS-33-b, ZS-34-a, NI-32-1, NI-33-5;Da;pobožnost ZS-34-b, NI-33-6;redukcija ZS-34-b;1;NI-33-4;;2;;NI-33-1, NI-33-2, NI-33-3, NI-33-7. NI-34-4;0;;;0;;
7;ZS/NI;Vjeronauka;B;9;V13;Dobro je moj izbor – Čovjek sa tri života;Ne;;Da;odgovornost ZS-36-a;Ne;;;1;ZS-37-b, ZS-39-b, ZS-39-c, NI-39-1, NI-39-2;;2;ZS-39-d, ZS-39-a,NI-37-2;NI-37-3, NI-38-1;2;;NI-37-5;0;;
8;ZS/NI;Vjeronauka;B;9;V13;Smisao života;Ne;;Da;odgovornost ZS-41-b;Da;pobožnost;;2;ZS-43-b, NI-41-2;ZS-41-c, ZS-43-a, NI-41-6;2;;NI-41-1, NI-41-3, NI-41-5, NI-43-1;2;;NI-41-4;0;;
9;ZS/NI;Vjeronauka;B;9;V13;Bosansko susretanje sa islamom;Ne;;Ne;;Ne;;;2;;NI-47-3;2;;ZS-45-a, NI-44-2, NI-46-1, NI-46-2;2;;NI-44-3, NI-44-4, NI-45-2;0;;
10;ZS/NI;Vjeronauka;B;9;V13;Ahdnama – bosanska karta slobode;Ne;;Da;život, sloboda, saradnja, solidarnost, jednakost  ZS-48-a, ZS-49-a, ZS-49-c, ZS-50-a;Ne;;;1;ZS-50-b, NI-49-3;;2;ZS-50-c;ZS-49-b, ZS- 50-b ;1;NI-48-1;NI-49-1;0;;
11;ZS/NI;Vjeronauka;B;9;V13;Islam i identitet Bošnjaka;Da;neravnopravnost NI-52-5;Ne;;Ne;;;2;;NI-52-2, NI-54-2, NI-55-1;2;;NI-52-1, NI-52-8, NI-53-1, NI-54-1;2;;NI-52-3, NI-52-4, NI-52-5, NI-52-6, NI-52-7, NI-53-2, NI-53-3, NI-53-4;2;;NI-55-2, ZS-51-a
12;ZS/NI;Vjeronauka;B;9;V13;Zajednički život traži kompromise;Ne;;Da;saradnja, sloboda, mir  NI-57-4;Ne; porijeklo NI-57-4;imputacija;1;ZS-57-c;;2;NI-57-3;NI-57-2;0;;NI-57-1;0;;
13;ZS/NI;Vjeronauka;B;9;V13;Težnja za zavičajem;Ne;;Da;mir  ZS-59-b;Ne; porijeklo NI-60-2;mistifikacija;2;;NI-60-3, ZS-59-a;2;;NI-59-1, NI-60-1, NI-61-1, ZS-60-d;2;;NI-59-2, NI-59-4;2;;NI-60-2
14;ZS/NI;Vjeronauka;B;9;V13;Moralne vrijednosti;Ne;;Da;sloboda NI-63-2;Ne;;imputacija, relativizacija;2;;NI-65-3;2;;NI-63-1, NI-64-1;0;;;0;;
15;ZS/NI;Vjeronauka;B;9;V13;Čestitost i ljudskost;Ne;;Da;odgovornost  NI-67-5;Ne; pobožnost NI-67-4;redukcija;2;NI-68-2;ZS-67-a;2;NI-67-1;NI-67-2, NI-68-1, ZS-69-c;0;NI-67-3;;2;;ZS-68-b
16;ZS/NI;Vjeronauka;B;9;V13;Moja iskustvo vrline;Ne;;Da;odgovornost, jednakost, život, solidarnost  NI-70-1, NI-71-2, NI-72-4, NI-72-8;Ne;pobožnost NI-72-5;redukcija;1;NI-72-1, NI-73-2, ZS-73-b, ZS-73-c;;2;NI-72-3;ZS-73-a, NI-72-2;1;ZS-72-e;NI-72-6, NI-72-7;0;;
17;ZS/NI;Vjeronauka;B;9;V13;Sve je stvoreno u paru;Ne;;Da;odgovornost  ZS-75-a;Ne;;;1;ZS-75-c, ZS-75-d;;2;ZS-75-e;NI-75-1;2;;NI-74-1, NI-74-2, NI-74-3, NI-74-4;0;;
18;ZS/NI;Vjeronauka;B;9;V13;Težnja ka suprotnom spolu;Ne;;Da;jednakost, ljubav, sloboda  ZS-77-b;Ne;;;1;ZS-78-a, ZS-78-b, ZS-78-a, NI-77-2;;2;NI-78-2;NI-77-1, NI-77-3, NI-78-1, NI-80-1;2;;ZS-80-a;2;;ZS-77-c
19;ZS/NI;Vjeronauka;B;9;V13;Smisao porodičnih odnosa;Ne;;Da;odgovornost NI-81-2;Da;pobožnost  NI-82-2;ignorancija;1;ZS-83-c, ZS-83-b;;2;NI-83-1;ZS-82-a, ZS-83-a;2;;NI-81-1;2;;NI-81-3
20;ZS/NI;Vjeronauka;B;9;V13;Njegovanje porodičnih i rodbinskih veza;Ne;;Da;odgovornost NI-84-1;Da;pobožnost NI-84-2;;1;NI-86-4;;2;;NI-85-1, NI-85-2, NI-86-3;2;;NI-86-1, NI-86-2;0;;
21;ZS/NI;Vjeronauka;B;9;V13;Svijet u kojem živim i ja;Ne;;Ne;;Ne;;;1;NI-88-2, NI-88-4, NI-89-5;;2;ZS-89-c;NI-88-1, NI-88-3, NI-88-5;0;;;0;;
22;ZS/NI;Vjeronauka;B;9;V13;Religioznost mladih (Sujevjerje);Ne;;Ne;;Ne;;;1;NI-92-2;ZS-93-a, ZS-94-a;2;;NI-92-1, NI-92-3, NI-94-1, NI-95-3;2;;NI-92-4;0;;
23;ZS/NI;Vjeronauka;B;9;V13;Između dobra i zla;Ne;;Da;sloboda, odgovornost  NI-97-2, NI-97-4;Da;pobožnost NI-97-3;redukcija;1;NI-98-2, NI-99-2;;1;ZS-99-d;NI-97-1, NI-98-1;0;NI-99-1;;2;;ZS-98-a
24;ZS/NI;Vjeronauka;B;9;V13;Ko upravlja mojim životom;Ne;;Ne;;Ne;;;1;NI-102-1, NI-104-3;;2;NI-104-2;NI-101-1, NI-104-1;0;;;2;;
25;ZS/NI;Vjeronauka;B;9;V13;Bosanska kuća;Ne;;Ne;;Ne;;;2;;ZS-108-e;2;;NI-107-1, NI-107-2, NI-107-5, NI-108-2;2;;NI-105-2, NI-107-4, NI-108-1;2;;ZS-108-a, ZS-108-b, NI-105-1, NI-105-3, NI-107-3
26;ZS/NI;Vjeronauka;B;9;V13;Bosansko-muslimanska kultura življenja;Ne;;Da;odgovornost, saradnja, mir  ZS-110-a, ZS-110-b, ZS-112-a;Da;pobožnost NI-112-a;indukcija NI-112-a;1;NI-112-b;;2;;NI-110-c;2;;NI-112-c;0;;
