Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
3;ZS/ZMP;Vjeronauka;B;8;V12;Poželjne kompetencije mladih;Ne;;Da;odgovornost ZPM-9-b, ZPM-9-c;Da;pobožnost;redukcija;2;;ZS-10, ZPM-10-b;1;ZS-11-a, ZPM-10-b, ZPM-10-c, ZPM-10-d, ZPM-10-e;;1;;ZS-11-b;2;;ZS-10-a 
4;ZS/ZMP;Vjeronauka;B;8;V12;Čistota duhovnosti;Ne;;Ne;;Ne;;;1;ZS-15;ZPM-13-a;2;ZPM-14-b;ZS-13, ZS-14-b, ZS-16-a ;0;;;1;ZPM-14-a ;
5;ZS/ZMP;Vjeronauka;B;8;V12;Kako da završim dan;Ne;;Ne;;Ne;;;1;ZS-20, ZPM-21-a;;2;;ZS-18, ZS-21;0;;;0;;
6;ZS/ZMP;Vjeronauka;B;8;V12;Namazi u posebnim prilikama;Ne;;Ne; ;Ne;;;0;ZS-25-b;;2;ZPM-24-a, ZPM-24-b;ZS-24 ;0;;;1;ZS-25-a;
7;ZS/ZMP;Vjeronauka;B;8;V12;Upoznajmo zakon Božiji;Da;nejednakost ZPM-26-b;Da;jednakost ZS-26-a, ZPM-26-a, odgovornost ZPM-26-b, ZPM-26-c;Da;pobožnost ZPM-26-a, ZPM-26-b, ZPM-26-c ;redukcija ZS-26-a, mistifikacija;1;ZPM-26-d, ZPM-28-d, ZPM-28-c, ZPM-28-e ;ZS-26-b;2;;ZS-28;0;;;0;;
8;ZS/ZMP;Vjeronauka;B;8;V12;Vrednovanje djela u zakonu Božijem;Ne;;Ne;;Ne;;;2;;ZPM-32-a, ZPM-32-b, ZPM-32-c, ZPM-32-d ;2;;ZS-31-a;1;ZS-31-b;;0;;
9;ZS/ZMP;Vjeronauka;B;8;V12;Prijevod Kur'ana na bosanskom jeziku;Ne;;Ne;;Ne;;;2;;ZS-34, ZS-36, ZS-37, ZPM-36-a;1;ZPM-34-c, ZPM-34-d, ZPM-34-e, ZPM-37-c;;0;;;2;;ZPM-34-a
10;ZS/ZMP;Vjeronauka;B;8;V12;Čuvanje tradicije;Da;nejednakost ZPM-40-a;Ne;;Ne;;;1;ZS-41, ZPM-50-a, ZPM-51-a, ZPM-51-b, ZPM-51-c;;2;;ZS-39 ;2;;ZS-42 ;0;;
11;ZS/ZMP;Vjeronauka;B;8;V12;Božiji poslanici - naši učitelji;Ne;;Da;odgovornost ZPM-44-b, jednakost ZPM-46-a;Da;pobožnost ZPM-44-a, ZPM-44-b;redukcija ZPM-44-a, ZPM-44-b;1;ZS-45-b ;;2;;ZS-45-a;1;ZS-46;;0;;
12;ZS/ZMP;Vjeronauka;B;8;V12;Mudrost u prosuđivanju;Ne;;Da;jednakost ZS-49-b, odgovornost ZPM-48-a, ZPM-48-d,  ZPM-48-e,  ZPM-48-f, mir ZPM-49-c, sloboda ZPM-49-f;Da;pobožnost ZPM-47-a, ZPM-48-b, ZPM-48-d, ZPM-48-e, ZPM-48-f;ignorancija ZS-49-b, redukcija;2;ZS-50-a;ZS-48-a, ZS-49-c ;1;ZS-50-b, ZPM-48-b, ZPM-48-c, ZPM-49-g, ZPM-49-h, ZPM-49-I, ZPM-50-a ;;1;ZS-48-b, ZS-49-a;;0;;
13;ZS/ZMP;Vjeronauka;B;8;V12;Blagodati Božije nas približavaju Bogu;Ne;;Ne;;Ne;;;1;ZS-52-c, ZS-53, ZPM-54-c;ZS-52-a, ZS-52-b ;2;ZPM-52-a, ZPM-52-b;ZS-54-a ;0;;;1;ZPM-54-c ;
